species,APC_name,NT,Qld,WA,ChI,NSW,SA,Vic,Tas,ACT,NI,LHI,MI,HI,MDI,CoI,CSI,AR,CaI,Genus,family,Original_Year,Growth_Habit
Lindernia stantonii Wannan,Lindernia stantonii,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lindernia,Linderniaceae,2016,herb
Lindernia thyridostoma W.R.Barker,Lindernia thyridostoma,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lindernia,Linderniaceae,2018,herb
Lindernia venustula W.R.Barker,Lindernia venustula,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lindernia,Linderniaceae,2018,herb
Microcarpaea agonis A.R.Bean,Microcarpaea agonis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Microcarpaea,Linderniaceae,1997,herb
Torenia polygonoides Benth.,Torenia polygonoides,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Torenia,Linderniaceae,1835,herb
"Yamazakia pusilla (Willd.) W.R.Barker, Y.S.Liang & Wannan",Yamazakia pusilla,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Yamazakia,Linderniaceae,1797,herb
Lindsaea orbiculata (Lam.) Mett. ex Kuhn,Lindsaea orbiculata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lindsaea,Lindsaeaceae,1783,fern
Lindsaea pulchella Mett. ex Kuhn,Lindsaea pulchella,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lindsaea,Lindsaeaceae,1869,fern
"Adelphacme minima (B.J.Conn) K.L.Gibbons, B.J.Conn & Henwood",Adelphacme minima,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Adelphacme,Loganiaceae,1996,herb
Geniostoma huttonii B.J.Conn,Geniostoma huttonii,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,Geniostoma,Loganiaceae,1993,shrub
Geniostoma petiolosum F.Muell.,Geniostoma petiolosum,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,Geniostoma,Loganiaceae,1869,tree
Logania archeri B.J.Conn,Logania archeri,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Logania,Loganiaceae,1995,shrub
Logania diffusa R.J.F.Hend.,Logania diffusa,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Logania,Loganiaceae,1985,shrub
Logania insularis J.M.Black,Logania insularis,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Logania,Loganiaceae,1926,shrub
Logania litoralis B.J.Conn,Logania litoralis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Logania,Loganiaceae,1995,shrub
Logania micrantha Benth.,Logania micrantha,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Logania,Loganiaceae,1857,shrub
Logania perryana B.J.Conn,Logania perryana,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Logania,Loganiaceae,1995,shrub
Logania scabrella B.J.Conn,Logania scabrella,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Logania,Loganiaceae,1995,shrub
